Entity,Code,Day,Top-1 accuracy
Top-1 accuracy,,2015-10-31,68.3
Top-1 accuracy,,2015-12-10,78.57
Top-1 accuracy,,2016-02-23,80.1
Top-1 accuracy,,2016-08-22,81.24
Top-1 accuracy,,2017-07-21,82.7
Top-1 accuracy,,2017-12-02,82.9
Top-1 accuracy,,2018-02-05,83.9
Top-1 accuracy,,2018-05-02,85.4
Top-1 accuracy,,2019-06-14,86.4
Top-1 accuracy,,2019-11-11,86.9
Top-1 accuracy,,2019-12-24,87.54
Top-1 accuracy,,2020-01-07,88.4
Top-1 accuracy,,2020-03-18,88.5
Top-1 accuracy,,2020-03-23,90.2
Top-1 accuracy,,2021-06-08,90.45
Top-1 accuracy,,2021-06-09,90.88
Top-1 accuracy,,2022-03-10,90.98
Top-1 accuracy,,2022-05-04,91
Top-1 accuracy,,2023-11-07,92.4