Entity,Code,Year,Patent applications - Field: All
Argentina,ARG,2013,1
Argentina,ARG,2016,1
Argentina,ARG,2017,1
Argentina,ARG,2018,7
Argentina,ARG,2019,8
Argentina,ARG,2020,10
Australia,AUS,2013,77
Australia,AUS,2014,84
Australia,AUS,2015,127
Australia,AUS,2016,240
Australia,AUS,2017,288
Australia,AUS,2018,465
Australia,AUS,2019,565
Australia,AUS,2020,895
Austria,AUT,2013,4
Austria,AUT,2014,2
Austria,AUT,2015,3
Austria,AUT,2016,10
Austria,AUT,2017,11
Austria,AUT,2018,12
Austria,AUT,2019,6
Austria,AUT,2020,15
Azerbaijan,AZE,2018,1
Belgium,BEL,2013,1
Belgium,BEL,2016,2
Belgium,BEL,2017,2
Belgium,BEL,2018,8
Belgium,BEL,2019,2
Belgium,BEL,2020,6
Brazil,BRA,2013,39
Brazil,BRA,2014,33
Brazil,BRA,2015,58
Brazil,BRA,2016,79
Brazil,BRA,2017,83
Brazil,BRA,2018,147
Brazil,BRA,2019,145
Brazil,BRA,2020,148
Brunei,BRN,2014,1
Bulgaria,BGR,2015,1
Bulgaria,BGR,2017,3
Bulgaria,BGR,2018,4
Bulgaria,BGR,2019,3
Bulgaria,BGR,2020,12
Canada,CAN,2013,112
Canada,CAN,2014,118
Canada,CAN,2015,184
Canada,CAN,2016,334
Canada,CAN,2017,419
Canada,CAN,2018,677
Canada,CAN,2019,751
Canada,CAN,2020,876
Chile,CHL,2014,1
Chile,CHL,2015,4
Chile,CHL,2017,1
Chile,CHL,2018,1
Chile,CHL,2019,1
China,CHN,2013,1956
China,CHN,2014,2484
China,CHN,2015,3946
China,CHN,2016,7956
China,CHN,2017,14803
China,CHN,2018,27588
China,CHN,2019,43810
China,CHN,2020,66071
Colombia,COL,2015,2
Colombia,COL,2017,2
Colombia,COL,2019,2
Costa Rica,CRI,2019,1
Costa Rica,CRI,2020,1
Croatia,HRV,2015,1
Croatia,HRV,2018,2
Croatia,HRV,2019,1
Cuba,CUB,2020,1
Czechia,CZE,2013,1
Czechia,CZE,2017,1
Czechia,CZE,2018,1
Czechia,CZE,2019,1
Czechia,CZE,2020,3
Denmark,DNK,2013,8
Denmark,DNK,2014,11
Denmark,DNK,2015,21
Denmark,DNK,2016,15
Denmark,DNK,2017,19
Denmark,DNK,2018,23
Denmark,DNK,2019,14
Denmark,DNK,2020,17
Finland,FIN,2013,3
Finland,FIN,2014,11
Finland,FIN,2015,11
Finland,FIN,2016,8
Finland,FIN,2017,19
Finland,FIN,2018,37
Finland,FIN,2019,31
Finland,FIN,2020,36
France,FRA,2013,28
France,FRA,2014,33
France,FRA,2015,35
France,FRA,2016,66
France,FRA,2017,97
France,FRA,2018,184
France,FRA,2019,221
France,FRA,2020,282
Germany,DEU,2013,65
Germany,DEU,2014,67
Germany,DEU,2015,121
Germany,DEU,2016,235
Germany,DEU,2017,399
Germany,DEU,2018,635
Germany,DEU,2019,849
Germany,DEU,2020,1030
Greece,GRC,2014,1
Greece,GRC,2015,2
Greece,GRC,2016,4
Greece,GRC,2017,14
Greece,GRC,2018,9
Greece,GRC,2019,3
Greece,GRC,2020,5
Hong Kong,HKG,2016,4
Hong Kong,HKG,2017,1
Hong Kong,HKG,2018,14
Hong Kong,HKG,2019,1
Hungary,HUN,2013,2
Hungary,HUN,2014,1
Hungary,HUN,2015,8
Hungary,HUN,2016,5
Hungary,HUN,2017,6
Hungary,HUN,2018,3
Hungary,HUN,2019,4
Hungary,HUN,2020,2
India,IND,2013,54
India,IND,2014,49
India,IND,2015,111
India,IND,2016,156
India,IND,2017,269
India,IND,2018,270
India,IND,2019,10
India,IND,2020,5
Indonesia,IDN,2013,1
Indonesia,IDN,2016,2
Iran,IRN,2018,1
Ireland,IRL,2016,2
Ireland,IRL,2018,2
Israel,ISR,2013,9
Israel,ISR,2014,6
Israel,ISR,2015,16
Israel,ISR,2016,5
Israel,ISR,2017,21
Israel,ISR,2018,20
Israel,ISR,2019,21
Israel,ISR,2020,23
Italy,ITA,2013,10
Italy,ITA,2014,6
Italy,ITA,2015,11
Italy,ITA,2016,21
Italy,ITA,2017,29
Italy,ITA,2018,42
Italy,ITA,2019,60
Italy,ITA,2020,65
Japan,JPN,2013,354
Japan,JPN,2014,512
Japan,JPN,2015,739
Japan,JPN,2016,1358
Japan,JPN,2017,2379
Japan,JPN,2018,3581
Japan,JPN,2019,4240
Japan,JPN,2020,4262
Jordan,JOR,2017,1
Kenya,KEN,2016,1
Latvia,LVA,2017,1
Latvia,LVA,2020,1
Lithuania,LTU,2014,2
Lithuania,LTU,2015,4
Lithuania,LTU,2016,3
Lithuania,LTU,2017,4
Lithuania,LTU,2018,9
Lithuania,LTU,2019,2
Lithuania,LTU,2020,5
Luxembourg,LUX,2016,2
Luxembourg,LUX,2017,3
Luxembourg,LUX,2018,9
Luxembourg,LUX,2019,10
Luxembourg,LUX,2020,13
Malaysia,MYS,2013,14
Malaysia,MYS,2014,10
Malaysia,MYS,2015,18
Malaysia,MYS,2016,10
Malaysia,MYS,2017,13
Malaysia,MYS,2018,9
Malaysia,MYS,2019,1
Malaysia,MYS,2020,2
Mexico,MEX,2013,32
Mexico,MEX,2014,21
Mexico,MEX,2015,47
Mexico,MEX,2016,64
Mexico,MEX,2017,70
Mexico,MEX,2018,91
Mexico,MEX,2019,105
Mexico,MEX,2020,104
Morocco,MAR,2013,1
Morocco,MAR,2014,3
Morocco,MAR,2015,2
Morocco,MAR,2016,3
Morocco,MAR,2017,5
Morocco,MAR,2018,7
Morocco,MAR,2019,7
Morocco,MAR,2020,1
Netherlands,NLD,2013,2
Netherlands,NLD,2014,1
Netherlands,NLD,2015,5
Netherlands,NLD,2016,6
Netherlands,NLD,2017,5
Netherlands,NLD,2018,13
Netherlands,NLD,2019,24
Netherlands,NLD,2020,19
New Zealand,NZL,2013,7
New Zealand,NZL,2014,4
New Zealand,NZL,2015,17
New Zealand,NZL,2016,3
New Zealand,NZL,2017,10
New Zealand,NZL,2018,12
New Zealand,NZL,2019,5
Norway,NOR,2013,1
Norway,NOR,2014,2
Norway,NOR,2016,3
Norway,NOR,2017,2
Norway,NOR,2018,6
Norway,NOR,2019,5
Norway,NOR,2020,8
Oman,OMN,2016,1
Panama,PAN,2016,2
Peru,PER,2015,2
Peru,PER,2016,3
Peru,PER,2018,3
Peru,PER,2019,3
Peru,PER,2020,12
Philippines,PHL,2015,4
Philippines,PHL,2016,3
Philippines,PHL,2017,1
Philippines,PHL,2018,2
Philippines,PHL,2019,7
Philippines,PHL,2020,2
Poland,POL,2013,6
Poland,POL,2014,8
Poland,POL,2015,19
Poland,POL,2016,14
Poland,POL,2017,10
Poland,POL,2018,19
Poland,POL,2019,13
Poland,POL,2020,8
Portugal,PRT,2014,1
Portugal,PRT,2015,5
Portugal,PRT,2016,10
Portugal,PRT,2017,6
Portugal,PRT,2018,11
Portugal,PRT,2019,3
Portugal,PRT,2020,8
Romania,ROU,2015,6
Romania,ROU,2016,2
Romania,ROU,2017,5
Romania,ROU,2018,5
Romania,ROU,2019,6
Romania,ROU,2020,9
Russia,RUS,2013,45
Russia,RUS,2014,83
Russia,RUS,2015,98
Russia,RUS,2016,137
Russia,RUS,2017,182
Russia,RUS,2018,210
Russia,RUS,2019,169
Russia,RUS,2020,189
Saudi Arabia,SAU,2018,2
Serbia,SRB,2013,1
Serbia,SRB,2014,1
Serbia,SRB,2015,1
Serbia,SRB,2016,2
Serbia,SRB,2017,2
Serbia,SRB,2018,5
Serbia,SRB,2019,4
Serbia,SRB,2020,5
Singapore,SGP,2013,26
Singapore,SGP,2014,36
Singapore,SGP,2015,33
Singapore,SGP,2016,51
Singapore,SGP,2017,111
Singapore,SGP,2018,201
Singapore,SGP,2019,151
Singapore,SGP,2020,52
Slovakia,SVK,2015,4
Slovakia,SVK,2020,4
Slovenia,SVN,2013,2
Slovenia,SVN,2015,2
Slovenia,SVN,2016,3
Slovenia,SVN,2018,4
South Africa,ZAF,2013,1
South Africa,ZAF,2014,3
South Africa,ZAF,2016,3
South Africa,ZAF,2017,3
South Africa,ZAF,2018,4
South Africa,ZAF,2019,1
South Africa,ZAF,2020,6
South Korea,KOR,2013,291
South Korea,KOR,2014,365
South Korea,KOR,2015,457
South Korea,KOR,2016,1158
South Korea,KOR,2017,2376
South Korea,KOR,2018,4161
South Korea,KOR,2019,6595
South Korea,KOR,2020,8296
Spain,ESP,2013,22
Spain,ESP,2014,32
Spain,ESP,2015,37
Spain,ESP,2016,50
Spain,ESP,2017,52
Spain,ESP,2018,49
Spain,ESP,2019,46
Spain,ESP,2020,42
Sri Lanka,LKA,2016,1
Sweden,SWE,2013,13
Sweden,SWE,2014,3
Sweden,SWE,2015,6
Sweden,SWE,2016,12
Sweden,SWE,2017,11
Sweden,SWE,2018,31
Sweden,SWE,2019,16
Sweden,SWE,2020,23
Switzerland,CHE,2014,4
Switzerland,CHE,2015,3
Switzerland,CHE,2016,4
Switzerland,CHE,2017,2
Switzerland,CHE,2018,4
Switzerland,CHE,2019,3
Switzerland,CHE,2020,5
Taiwan,TWN,2013,47
Taiwan,TWN,2014,36
Taiwan,TWN,2015,47
Taiwan,TWN,2016,98
Taiwan,TWN,2017,186
Taiwan,TWN,2018,356
Taiwan,TWN,2019,497
Taiwan,TWN,2020,624
Thailand,THA,2017,1
Tunisia,TUN,2020,1
Turkey,TUR,2013,3
Turkey,TUR,2014,2
Turkey,TUR,2015,4
Turkey,TUR,2016,8
Turkey,TUR,2017,11
Turkey,TUR,2018,18
Turkey,TUR,2019,25
Turkey,TUR,2020,46
Ukraine,UKR,2013,11
Ukraine,UKR,2014,22
Ukraine,UKR,2015,12
Ukraine,UKR,2016,4
Ukraine,UKR,2017,2
Ukraine,UKR,2018,4
Ukraine,UKR,2019,1
United Kingdom,GBR,2013,80
United Kingdom,GBR,2014,70
United Kingdom,GBR,2015,93
United Kingdom,GBR,2016,188
United Kingdom,GBR,2017,276
United Kingdom,GBR,2018,407
United Kingdom,GBR,2019,423
United Kingdom,GBR,2020,431
United States,USA,2013,2230
United States,USA,2014,2738
United States,USA,2015,3930
United States,USA,2016,6163
United States,USA,2017,9851
United States,USA,2018,13262
United States,USA,2019,13873
United States,USA,2020,12676
Uruguay,URY,2017,1
Uruguay,URY,2020,1
World,OWID_WRL,2013,5560
World,OWID_WRL,2014,6867
World,OWID_WRL,2015,10257
World,OWID_WRL,2016,18515
World,OWID_WRL,2017,32070
World,OWID_WRL,2018,52648
World,OWID_WRL,2019,72745
World,OWID_WRL,2020,96358