Entity,Code,Year,Cumulative number of large-scale AI systems by country
Canada,CAN,2017,0
Canada,CAN,2020,0
Canada,CAN,2021,0
Canada,CAN,2022,0
Canada,CAN,2023,2
Canada,CAN,2024,3
China,CHN,2017,0
China,CHN,2020,0
China,CHN,2021,2
China,CHN,2022,5
China,CHN,2023,45
China,CHN,2024,65
Finland,FIN,2017,0
Finland,FIN,2020,0
Finland,FIN,2021,0
Finland,FIN,2022,0
Finland,FIN,2023,1
Finland,FIN,2024,2
France,FRA,2017,0
France,FRA,2020,0
France,FRA,2021,0
France,FRA,2022,1
France,FRA,2023,6
France,FRA,2024,9
Germany,DEU,2017,0
Germany,DEU,2020,0
Germany,DEU,2021,0
Germany,DEU,2022,2
Germany,DEU,2023,2
Germany,DEU,2024,3
Hong Kong,HKG,2017,0
Hong Kong,HKG,2020,0
Hong Kong,HKG,2021,0
Hong Kong,HKG,2022,1
Hong Kong,HKG,2023,3
Hong Kong,HKG,2024,5
Israel,ISR,2017,0
Israel,ISR,2020,0
Israel,ISR,2021,1
Israel,ISR,2022,1
Israel,ISR,2023,3
Israel,ISR,2024,3
Japan,JPN,2017,0
Japan,JPN,2020,0
Japan,JPN,2021,0
Japan,JPN,2022,0
Japan,JPN,2023,3
Japan,JPN,2024,3
Multinational,,2017,0
Multinational,,2020,0
Multinational,,2021,0
Multinational,,2022,5
Multinational,,2023,12
Multinational,,2024,20
Russia,RUS,2017,0
Russia,RUS,2020,0
Russia,RUS,2021,0
Russia,RUS,2022,1
Russia,RUS,2023,2
Russia,RUS,2024,3
Singapore,SGP,2017,0
Singapore,SGP,2020,0
Singapore,SGP,2021,0
Singapore,SGP,2022,0
Singapore,SGP,2023,1
Singapore,SGP,2024,1
South Korea,KOR,2017,0
South Korea,KOR,2020,0
South Korea,KOR,2021,3
South Korea,KOR,2022,3
South Korea,KOR,2023,11
South Korea,KOR,2024,12
Total,,2017,2
Total,,2020,5
Total,,2021,14
Total,,2022,41
Total,,2023,148
Total,,2024,219
United Arab Emirates,ARE,2017,0
United Arab Emirates,ARE,2020,0
United Arab Emirates,ARE,2021,0
United Arab Emirates,ARE,2022,0
United Arab Emirates,ARE,2023,2
United Arab Emirates,ARE,2024,3
United Kingdom,GBR,2017,2
United Kingdom,GBR,2020,2
United Kingdom,GBR,2021,3
United Kingdom,GBR,2022,6
United Kingdom,GBR,2023,6
United Kingdom,GBR,2024,6
United States,USA,2017,0
United States,USA,2020,3
United States,USA,2021,5
United States,USA,2022,20
United States,USA,2023,56
United States,USA,2024,92