Entity,Code,Year,Cumulative number of AI systems by researcher affiliation
Academia,,1990,38
Academia,,1991,39
Academia,,1992,40
Academia,,1993,40
Academia,,1994,43
Academia,,1995,45
Academia,,1996,47
Academia,,1997,50
Academia,,1998,50
Academia,,1999,51
Academia,,2000,55
Academia,,2001,57
Academia,,2002,59
Academia,,2003,64
Academia,,2004,66
Academia,,2005,72
Academia,,2006,83
Academia,,2007,89
Academia,,2008,96
Academia,,2009,101
Academia,,2010,112
Academia,,2011,120
Academia,,2012,130
Academia,,2013,146
Academia,,2014,165
Academia,,2015,171
Academia,,2016,190
Academia,,2017,209
Academia,,2018,219
Academia,,2019,232
Academia,,2020,241
Academia,,2021,251
Academia,,2022,266
Academia,,2023,282
Academia,,2024,282
Academia and industry collaboration,,1990,1
Academia and industry collaboration,,1991,1
Academia and industry collaboration,,1992,1
Academia and industry collaboration,,1993,1
Academia and industry collaboration,,1994,1
Academia and industry collaboration,,1995,1
Academia and industry collaboration,,1996,1
Academia and industry collaboration,,1997,1
Academia and industry collaboration,,1998,2
Academia and industry collaboration,,1999,4
Academia and industry collaboration,,2000,4
Academia and industry collaboration,,2001,4
Academia and industry collaboration,,2002,5
Academia and industry collaboration,,2003,5
Academia and industry collaboration,,2004,5
Academia and industry collaboration,,2005,5
Academia and industry collaboration,,2006,6
Academia and industry collaboration,,2007,6
Academia and industry collaboration,,2008,7
Academia and industry collaboration,,2009,8
Academia and industry collaboration,,2010,9
Academia and industry collaboration,,2011,12
Academia and industry collaboration,,2012,14
Academia and industry collaboration,,2013,17
Academia and industry collaboration,,2014,25
Academia and industry collaboration,,2015,32
Academia and industry collaboration,,2016,40
Academia and industry collaboration,,2017,54
Academia and industry collaboration,,2018,70
Academia and industry collaboration,,2019,90
Academia and industry collaboration,,2020,102
Academia and industry collaboration,,2021,121
Academia and industry collaboration,,2022,140
Academia and industry collaboration,,2023,166
Academia and industry collaboration,,2024,171
Industry,,1990,13
Industry,,1991,13
Industry,,1992,15
Industry,,1993,17
Industry,,1994,17
Industry,,1995,19
Industry,,1996,20
Industry,,1997,22
Industry,,1998,23
Industry,,1999,23
Industry,,2000,23
Industry,,2001,24
Industry,,2002,25
Industry,,2003,26
Industry,,2004,26
Industry,,2005,27
Industry,,2006,27
Industry,,2007,31
Industry,,2008,33
Industry,,2009,39
Industry,,2010,41
Industry,,2011,41
Industry,,2012,44
Industry,,2013,52
Industry,,2014,57
Industry,,2015,70
Industry,,2016,91
Industry,,2017,114
Industry,,2018,138
Industry,,2019,172
Industry,,2020,199
Industry,,2021,244
Industry,,2022,290
Industry,,2023,349
Industry,,2024,370
Other,,1990,4
Other,,1991,5
Other,,1992,7
Other,,1993,8
Other,,1994,11
Other,,1995,11
Other,,1996,12
Other,,1997,13
Other,,1998,13
Other,,1999,13
Other,,2000,13
Other,,2001,13
Other,,2002,13
Other,,2003,13
Other,,2004,14
Other,,2005,15
Other,,2006,15
Other,,2007,15
Other,,2008,15
Other,,2009,15
Other,,2010,15
Other,,2011,15
Other,,2012,15
Other,,2013,15
Other,,2014,16
Other,,2015,18
Other,,2016,20
Other,,2017,22
Other,,2018,24
Other,,2019,29
Other,,2020,35
Other,,2021,38
Other,,2022,41
Other,,2023,44
Other,,2024,44