Entity,Code,Year,Private investment in AI in China,Private investment in AI in the United States,Private investment in AI in the European Union and United Kingdom,Global private investment in AI
AI infrastructure and governance,,2018,,21582030,,32373045
AI infrastructure and governance,,2019,31796818,84791516,116588334,233176668
AI infrastructure and governance,,2020,31409355,31409355,10469785,62818710
AI infrastructure and governance,,2021,50000000,180000000,260000000,490000000
AI infrastructure and governance,,2022,74072158,657390402,18518039,759239619
AI infrastructure and governance,,2023,26678868,16202965817,8892956,16247430597
Agricultural technology,,2017,11054594,44218377,,110545942
Agricultural technology,,2018,,75537104,,248193342
Agricultural technology,,2019,,158984092,0,211978789
Agricultural technology,,2020,94228066,209395701,,376912263
Agricultural technology,,2021,140000000,750000000,,1040000000
Agricultural technology,,2022,92590197,212957454,92590197,416655888
Agricultural technology,,2023,8892956,257895724,115608428,444647800
Augmented or virtual reality,,2017,66327565,11054594,0,77382159
Augmented or virtual reality,,2018,10791015,21582030,0,43164060
Augmented or virtual reality,,2019,148385152,21197879,10598939,190780910
Augmented or virtual reality,,2020,492079898,282684197,,785233880
Augmented or virtual reality,,2021,130000000,710000000,10000000,890000000
Augmented or virtual reality,,2022,74072158,185180395,18518039,305547652
Augmented or virtual reality,,2023,8892956,533577360,35571824,595828051
Autonomous vehicles,,2017,77382159,320583231,33163783,497456738
Autonomous vehicles,,2018,302148417,291357402,0,615087848
Autonomous vehicles,,2019,84791516,445155457,42395758,741925762
Autonomous vehicles,,2020,73288495,2303352716,136107206,2596506698
Autonomous vehicles,,2021,1790000000,450000000,120000000,2850000000
Autonomous vehicles,,2022,462950987,916642955,398137849,2027725324
Autonomous vehicles,,2023,249002768,1707447550,17785912,2365526294
"Creative, music, and video content",,2017,110545942,309528637,11054594,497456738
"Creative, music, and video content",,2018,442431610,226611312,0,690624952
"Creative, music, and video content",,2019,307369244,254374547,21197879,710128943
"Creative, music, and video content",,2020,136107206,408321618,41879140,1036508722
"Creative, music, and video content",,2021,260000000,1340000000,150000000,3420000000
"Creative, music, and video content",,2022,305547652,907383935,240734513,1712918652
"Creative, music, and video content",,2023,17785912,675864655,346825284,1191656103
Cybersecurity and data protection,,2017,33163783,165818913,88436753,287419449
Cybersecurity and data protection,,2018,,118701164,75537104,194238268
Cybersecurity and data protection,,2019,0,466353336,,476952275
Cybersecurity and data protection,,2020,62818710,743354740,104697851,942280656
Cybersecurity and data protection,,2021,250000000,510000000,70000000,850000000
Cybersecurity and data protection,,2022,55554118,861088836,9259020,1083305310
Cybersecurity and data protection,,2023,0,249002768,480219624,791473083
Data management and processing,,2017,55272971,298474043,33163783,464292956
Data management and processing,,2018,32373045,1057519458,53955074,1197802652
Data management and processing,,2019,211978789,1854814404,10598939,2225777285
Data management and processing,,2020,554898609,1486709480,115167636,2334762071
Data management and processing,,2021,1280000000,4720000000,150000000,6520000000
Data management and processing,,2022,555541185,2972145338,314806671,4638768891
Data management and processing,,2023,329039372,4197475228,160073208,4891125795
Drones,,2017,44218377,33163783,,77382159
Drones,,2018,32373045,53955074,21582030,140283193
Drones,,2019,42395758,42395758,31796818,190780910
Drones,,2020,94228066,136107206,,251274842
Drones,,2021,60000000,2030000000,,2200000000
Drones,,2022,74072158,3740643976,9259020,3907306332
Drones,,2023,44464780,773687171,17785912,853723775
Educational technology,,2017,530620521,397965390,33163783,1437097243
Educational technology,,2018,874072205,496386684,10791015,2784081839
Educational technology,,2019,646535306,243775607,31796818,1017498187
Educational technology,,2020,136107206,2093957014,83758281,2481339062
Educational technology,,2021,490000000,1160000000,170000000,2240000000
Educational technology,,2022,314806671,824052757,111108237,1416630021
Educational technology,,2023,80036604,773687171,133394340,1102726543
"Energy, oil, and gas",,2017,55272971,1171786983,0,1238114548
"Energy, oil, and gas",,2018,194238268,528759729,32373045,776953071
"Energy, oil, and gas",,2019,74192576,614738488,31796818,805519398
"Energy, oil, and gas",,2020,209395701,722415170,52348925,1067918077
"Energy, oil, and gas",,2021,650000000,1240000000,100000000,3680000000
"Energy, oil, and gas",,2022,425914908,2453640232,148144316,3379542206
"Energy, oil, and gas",,2023,320146416,604721007,240109812,1307264531
Entertainment,,2017,198982695,33163783,0,254255666
Entertainment,,2018,75537104,129492179,21582030,258984357
Entertainment,,2019,,84791516,63593637,158984092
Entertainment,,2020,,62818710,20939570,167516561
Entertainment,,2021,50000000,410000000,110000000,710000000
Entertainment,,2022,0,148144316,83331178,324065691
Entertainment,,2023,17785912,249002768,160073208,462433712
Facial recognition,,2017,331637825,33163783,11054594,409019985
Facial recognition,,2018,1694189336,43164060,0,1834472530
Facial recognition,,2019,752524701,105989395,21197879,1006899248
Facial recognition,,2020,617717319,177986346,0,1078387862
Facial recognition,,2021,3040000000,460000000,20000000,3580000000
Facial recognition,,2022,55554118,370360790,37036079,888865895
Facial recognition,,2023,115608428,80036604,8892956,249002768
Financial technology,,2017,187928101,165818913,132655130,541675115
Financial technology,,2018,53955074,129492179,21582030,420849580
Financial technology,,2019,222577728,328567123,116588334,858514095
Financial technology,,2020,157046776,324563337,481610113,1204025283
Financial technology,,2021,550000000,1550000000,310000000,2750000000
Financial technology,,2022,55554118,1194413547,166662355,2018466304
Financial technology,,2023,35571824,853723775,595828051,1894199626
Fitness and wellness,,2017,,33163783,,33163783
Fitness and wellness,,2018,53955074,140283193,0,215820298
Fitness and wellness,,2019,,264973486,10598939,264973486
Fitness and wellness,,2020,,335033122,,345502907
Fitness and wellness,,2021,,1530000000,20000000,1590000000
Fitness and wellness,,2022,0,388878829,9259020,518505106
Fitness and wellness,,2023,0,177859120,17785912,195645032
Hardware,,2023,0,275681636,0,275681636
Insurance technology,,2017,,22109188,44218377,176873507
Insurance technology,,2018,64746089,43164060,10791015,151074208
Insurance technology,,2019,21197879,222577728,95390455,773722580
Insurance technology,,2020,73288495,450200758,83758281,628187104
Insurance technology,,2021,180000000,1200000000,130000000,1570000000
Insurance technology,,2022,166662355,833311777,101849217,1259226685
Insurance technology,,2023,0,373504152,88929560,533577360
Legal technology,,2017,,77382159,22109188,110545942
Legal technology,,2018,10791015,269775372,32373045,410058565
Legal technology,,2019,10598939,943305611,105989395,1112888642
Legal technology,,2020,41879140,366442477,73288495,513019468
Legal technology,,2021,30000000,1000000000,160000000,1270000000
Legal technology,,2022,,425914908,120367257,592577264
Legal technology,,2023,8892956,240109812,26678868,373504152
Manufacturing,,2017,11054594,66327565,22109188,121600536
Manufacturing,,2018,205029283,32373045,10791015,258984357
Manufacturing,,2019,31796818,10598939,31796818,84791516
Manufacturing,,2020,314093552,94228066,10469785,481610113
Manufacturing,,2021,220000000,400000000,130000000,780000000
Manufacturing,,2022,305547652,166662355,74072158,620354323
Manufacturing,,2023,471326668,177859120,80036604,791473083
Marketing and digital ads,,2017,22109188,88436753,33163783,143709724
Marketing and digital ads,,2018,21582030,129492179,21582030,194238268
Marketing and digital ads,,2019,31796818,127187273,52994697,275572426
Marketing and digital ads,,2020,125637421,1287783564,62818710,1591407331
Marketing and digital ads,,2021,80000000,360000000,160000000,770000000
Marketing and digital ads,,2022,37036079,537023145,46295099,703685500
Marketing and digital ads,,2023,364611196,364611196,71143648,942653335
Medical and healthcare,,2017,99491348,320583231,66327565,641166462
Medical and healthcare,,2018,194238268,625878863,129492179,1122265548
Medical and healthcare,,2019,264973486,1568643039,233176668,2342365618
Medical and healthcare,,2020,1046978507,3653954990,293153982,5412878882
Medical and healthcare,,2021,2670000000,6730000000,870000000,11460000000
Medical and healthcare,,2022,1333298843,4805431247,1018492172,8499780124
Medical and healthcare,,2023,426861888,2436669942,471326668,3735041517
Natural Language Processing and customer support,,2017,254255666,740657810,88436753,1249169142
Natural Language Processing and customer support,,2018,1564697158,895654235,183447253,3097021271
Natural Language Processing and customer support,,2019,561743791,3550644716,360363941,5193480331
Natural Language Processing and customer support,,2020,774764095,3004828315,502549683,4721873067
Natural Language Processing and customer support,,2021,2980000000,11950000000,1870000000,17760000000
Natural Language Processing and customer support,,2022,648131382,4731359089,1361075902,8870140914
Natural Language Processing and customer support,,2023,533577360,4819982148,1058261763,7167722529
Quantum computing,,2017,77382159,55272971,,132655130
Quantum computing,,2018,0,,0,75537104
Quantum computing,,2019,,84791516,0,169583031
Quantum computing,,2020,,272214412,10469785,345502907
Quantum computing,,2021,50000000,380000000,,570000000
Quantum computing,,2022,138885296,296288632,0,694426481
Quantum computing,,2023,0,1636303902,71143648,1751912330
Retail,,2017,66327565,110545942,11054594,187928101
Retail,,2018,64746089,97119134,0,172656238
Retail,,2019,74192576,31796818,21197879,137786213
Retail,,2020,397851833,157046776,31409355,638656889
Retail,,2021,90000000,480000000,90000000,780000000
Retail,,2022,46295099,564800204,120367257,870347856
Retail,,2023,106715472,311253460,71143648,595828051
Semiconductor,,2017,187928101,33163783,110545942,364801608
Semiconductor,,2018,43164060,172656238,43164060,312939432
Semiconductor,,2019,243775607,169583031,84791516,646535306
Semiconductor,,2020,198925916,481610113,732884955,1696105182
Semiconductor,,2021,1250000000,470000000,80000000,2230000000
Semiconductor,,2022,768498639,1370334922,101849217,2453640232
Semiconductor,,2023,560256227,702543523,124501384,1476230695
Total,,2013,721168187,4210691675,616482483,6013612143
Total,,2014,766886394,7966461649,1373527871,10942438702
Total,,2015,2389393064,10632227508,903167713,15262391101
Total,,2016,5103111753,11459421303,1309648149,19339890338
Total,,2017,7318141347,15553814011,2686266386,28432416231
Total,,2018,15075047787,22715086323,2956738077,46509274133
Total,,2019,14891509927,33990798816,6232176397,61664629720
Total,,2020,17128568376,37869212602,5643214153,67027564025
Total,,2021,23080000000,79560000000,12550000000,132360000000
Total,,2022,12879296463,50989421725,11860804291,95738264144
Total,,2023,6900933850,59778450177,9782251591,85363484565
Venture capital,,2017,,110545942,11054594,132655130
Venture capital,,2018,118701164,53955074,,183447253
Venture capital,,2019,10598939,84791516,31796818,169583031
Venture capital,,2020,251274842,638656889,10469785,952750441
Venture capital,,2021,60000000,850000000,0,1660000000
Venture capital,,2022,,138885296,27777059,1166636488
Venture capital,,2023,88929560,204537988,0,453540756