Entity,Code,Year,Share of artificial intelligence jobs among all job postings
Australia,AUS,2014,0.23
Australia,AUS,2015,0.95
Australia,AUS,2016,0.67
Australia,AUS,2017,0.65
Australia,AUS,2018,0.78
Australia,AUS,2019,0.86
Australia,AUS,2020,0.9
Australia,AUS,2021,1.35
Australia,AUS,2022,1.3
Australia,AUS,2023,1
Austria,AUT,2018,0.64
Austria,AUT,2019,0.76
Austria,AUT,2020,0.68
Austria,AUT,2021,0.73
Austria,AUT,2022,0.93
Austria,AUT,2023,0.89
Belgium,BEL,2018,0.96
Belgium,BEL,2019,0.95
Belgium,BEL,2020,1.05
Belgium,BEL,2021,1.18
Belgium,BEL,2022,1.04
Belgium,BEL,2023,1.2
Canada,CAN,2014,0.34
Canada,CAN,2015,0.41
Canada,CAN,2016,0.57
Canada,CAN,2017,0.81
Canada,CAN,2018,0.93
Canada,CAN,2019,1.1
Canada,CAN,2020,1.21
Canada,CAN,2021,1.52
Canada,CAN,2022,1.35
Canada,CAN,2023,1.05
France,FRA,2018,0.66
France,FRA,2019,0.5
France,FRA,2020,0.62
France,FRA,2021,0.97
France,FRA,2022,1.04
France,FRA,2023,1.07
Germany,DEU,2018,0.56
Germany,DEU,2019,0.62
Germany,DEU,2020,0.52
Germany,DEU,2021,0.99
Germany,DEU,2022,0.96
Germany,DEU,2023,0.81
Italy,ITA,2018,0.38
Italy,ITA,2019,0.56
Italy,ITA,2020,0.66
Italy,ITA,2021,0.75
Italy,ITA,2022,0.95
Italy,ITA,2023,0.76
Netherlands,NLD,2018,1.06
Netherlands,NLD,2019,1.18
Netherlands,NLD,2020,1.23
Netherlands,NLD,2021,1.43
Netherlands,NLD,2022,1.17
Netherlands,NLD,2023,1.12
New Zealand,NZL,2014,0.15
New Zealand,NZL,2015,0.23
New Zealand,NZL,2016,0.2
New Zealand,NZL,2017,0.23
New Zealand,NZL,2018,0.3
New Zealand,NZL,2019,0.33
New Zealand,NZL,2020,0.36
New Zealand,NZL,2021,0.48
New Zealand,NZL,2022,0.47
New Zealand,NZL,2023,0.5
Spain,ESP,2018,0.43
Spain,ESP,2019,0.53
Spain,ESP,2020,0.8
Spain,ESP,2021,1.43
Spain,ESP,2022,1.54
Spain,ESP,2023,1.35
Sweden,SWE,2018,0.76
Sweden,SWE,2019,1.03
Sweden,SWE,2020,1.29
Sweden,SWE,2021,1.56
Sweden,SWE,2022,1.32
Sweden,SWE,2023,1.31
Switzerland,CHE,2018,1.21
Switzerland,CHE,2019,1.43
Switzerland,CHE,2020,1.4
Switzerland,CHE,2021,1.51
Switzerland,CHE,2022,1.25
Switzerland,CHE,2023,1.04
United Kingdom,GBR,2014,0.36
United Kingdom,GBR,2015,0.42
United Kingdom,GBR,2016,0.5
United Kingdom,GBR,2017,0.69
United Kingdom,GBR,2018,0.83
United Kingdom,GBR,2019,0.94
United Kingdom,GBR,2020,1.13
United Kingdom,GBR,2021,1.18
United Kingdom,GBR,2022,1.29
United Kingdom,GBR,2023,0.85
United States,USA,2014,0.56
United States,USA,2015,0.69
United States,USA,2016,0.77
United States,USA,2017,1.08
United States,USA,2018,1.48
United States,USA,2019,1.63
United States,USA,2020,1.49
United States,USA,2021,1.72
United States,USA,2022,1.97
United States,USA,2023,1.62