Entity,Code,Year,"Share of women among new computer science PhDs, United States and Canada"
United States and Canada,,2010,18.8
United States and Canada,,2011,18.4
United States and Canada,,2012,17.8
United States and Canada,,2013,17.2
United States and Canada,,2014,17.6
United States and Canada,,2015,18.3
United States and Canada,,2016,17.1
United States and Canada,,2017,18.3
United States and Canada,,2018,19.3
United States and Canada,,2019,20.3
United States and Canada,,2020,19.9
United States and Canada,,2021,23.3
United States and Canada,,2022,22.1