Entity,Code,Year,Cumulative number of AI systems by domain
Audio,,1990,0
Audio,,1991,0
Audio,,1992,0
Audio,,1993,0
Audio,,1994,0
Audio,,1995,0
Audio,,1996,0
Audio,,1997,0
Audio,,1998,0
Audio,,1999,0
Audio,,2000,0
Audio,,2001,0
Audio,,2002,0
Audio,,2003,0
Audio,,2004,0
Audio,,2005,0
Audio,,2006,0
Audio,,2007,0
Audio,,2008,0
Audio,,2009,0
Audio,,2010,0
Audio,,2011,0
Audio,,2012,0
Audio,,2013,0
Audio,,2014,0
Audio,,2015,0
Audio,,2016,0
Audio,,2017,0
Audio,,2018,0
Audio,,2019,0
Audio,,2020,0
Audio,,2021,0
Audio,,2022,1
Audio,,2023,11
Audio,,2024,12
Biology,,1990,0
Biology,,1991,0
Biology,,1992,1
Biology,,1993,1
Biology,,1994,1
Biology,,1995,1
Biology,,1996,1
Biology,,1997,1
Biology,,1998,1
Biology,,1999,1
Biology,,2000,1
Biology,,2001,1
Biology,,2002,1
Biology,,2003,1
Biology,,2004,1
Biology,,2005,2
Biology,,2006,2
Biology,,2007,2
Biology,,2008,2
Biology,,2009,2
Biology,,2010,2
Biology,,2011,2
Biology,,2012,2
Biology,,2013,2
Biology,,2014,2
Biology,,2015,2
Biology,,2016,3
Biology,,2017,3
Biology,,2018,3
Biology,,2019,4
Biology,,2020,9
Biology,,2021,17
Biology,,2022,30
Biology,,2023,39
Biology,,2024,40
Games,,1990,4
Games,,1991,4
Games,,1992,5
Games,,1993,5
Games,,1994,6
Games,,1995,6
Games,,1996,6
Games,,1997,7
Games,,1998,7
Games,,1999,7
Games,,2000,7
Games,,2001,7
Games,,2002,7
Games,,2003,7
Games,,2004,7
Games,,2005,7
Games,,2006,7
Games,,2007,7
Games,,2008,7
Games,,2009,7
Games,,2010,7
Games,,2011,7
Games,,2012,7
Games,,2013,8
Games,,2014,10
Games,,2015,14
Games,,2016,17
Games,,2017,25
Games,,2018,28
Games,,2019,35
Games,,2020,38
Games,,2021,42
Games,,2022,46
Games,,2023,46
Games,,2024,46
Image generation,,1990,0
Image generation,,1991,0
Image generation,,1992,0
Image generation,,1993,0
Image generation,,1994,0
Image generation,,1995,0
Image generation,,1996,0
Image generation,,1997,0
Image generation,,1998,0
Image generation,,1999,0
Image generation,,2000,0
Image generation,,2001,0
Image generation,,2002,0
Image generation,,2003,0
Image generation,,2004,0
Image generation,,2005,0
Image generation,,2006,0
Image generation,,2007,0
Image generation,,2008,0
Image generation,,2009,0
Image generation,,2010,0
Image generation,,2011,0
Image generation,,2012,0
Image generation,,2013,0
Image generation,,2014,1
Image generation,,2015,2
Image generation,,2016,5
Image generation,,2017,9
Image generation,,2018,15
Image generation,,2019,21
Image generation,,2020,24
Image generation,,2021,32
Image generation,,2022,42
Image generation,,2023,54
Image generation,,2024,54
Language,,1990,2
Language,,1991,3
Language,,1992,3
Language,,1993,4
Language,,1994,5
Language,,1995,6
Language,,1996,7
Language,,1997,8
Language,,1998,8
Language,,1999,10
Language,,2000,12
Language,,2001,13
Language,,2002,16
Language,,2003,19
Language,,2004,20
Language,,2005,22
Language,,2006,22
Language,,2007,25
Language,,2008,29
Language,,2009,29
Language,,2010,31
Language,,2011,38
Language,,2012,43
Language,,2013,54
Language,,2014,66
Language,,2015,72
Language,,2016,87
Language,,2017,106
Language,,2018,135
Language,,2019,174
Language,,2020,204
Language,,2021,241
Language,,2022,286
Language,,2023,351
Language,,2024,373
Multimodal,,1990,0
Multimodal,,1991,0
Multimodal,,1992,0
Multimodal,,1993,0
Multimodal,,1994,0
Multimodal,,1995,0
Multimodal,,1996,0
Multimodal,,1997,0
Multimodal,,1998,0
Multimodal,,1999,0
Multimodal,,2000,0
Multimodal,,2001,0
Multimodal,,2002,0
Multimodal,,2003,0
Multimodal,,2004,0
Multimodal,,2005,0
Multimodal,,2006,0
Multimodal,,2007,0
Multimodal,,2008,0
Multimodal,,2009,0
Multimodal,,2010,0
Multimodal,,2011,0
Multimodal,,2012,0
Multimodal,,2013,0
Multimodal,,2014,2
Multimodal,,2015,2
Multimodal,,2016,2
Multimodal,,2017,2
Multimodal,,2018,2
Multimodal,,2019,2
Multimodal,,2020,3
Multimodal,,2021,10
Multimodal,,2022,17
Multimodal,,2023,40
Multimodal,,2024,46
Other,,1990,21
Other,,1991,21
Other,,1992,22
Other,,1993,22
Other,,1994,23
Other,,1995,24
Other,,1996,24
Other,,1997,24
Other,,1998,24
Other,,1999,24
Other,,2000,24
Other,,2001,25
Other,,2002,26
Other,,2003,26
Other,,2004,26
Other,,2005,27
Other,,2006,30
Other,,2007,31
Other,,2008,34
Other,,2009,37
Other,,2010,38
Other,,2011,39
Other,,2012,40
Other,,2013,41
Other,,2014,42
Other,,2015,42
Other,,2016,43
Other,,2017,45
Other,,2018,45
Other,,2019,46
Other,,2020,48
Other,,2021,50
Other,,2022,52
Other,,2023,57
Other,,2024,58
Recommendation,,1990,0
Recommendation,,1991,0
Recommendation,,1992,0
Recommendation,,1993,0
Recommendation,,1994,1
Recommendation,,1995,1
Recommendation,,1996,1
Recommendation,,1997,1
Recommendation,,1998,2
Recommendation,,1999,2
Recommendation,,2000,3
Recommendation,,2001,3
Recommendation,,2002,3
Recommendation,,2003,3
Recommendation,,2004,3
Recommendation,,2005,3
Recommendation,,2006,3
Recommendation,,2007,6
Recommendation,,2008,7
Recommendation,,2009,13
Recommendation,,2010,14
Recommendation,,2011,14
Recommendation,,2012,14
Recommendation,,2013,14
Recommendation,,2014,14
Recommendation,,2015,15
Recommendation,,2016,17
Recommendation,,2017,18
Recommendation,,2018,18
Recommendation,,2019,19
Recommendation,,2020,19
Recommendation,,2021,19
Recommendation,,2022,19
Recommendation,,2023,19
Recommendation,,2024,19
Robotics,,1990,5
Robotics,,1991,5
Robotics,,1992,5
Robotics,,1993,5
Robotics,,1994,5
Robotics,,1995,5
Robotics,,1996,5
Robotics,,1997,5
Robotics,,1998,5
Robotics,,1999,5
Robotics,,2000,5
Robotics,,2001,5
Robotics,,2002,5
Robotics,,2003,5
Robotics,,2004,5
Robotics,,2005,5
Robotics,,2006,5
Robotics,,2007,5
Robotics,,2008,5
Robotics,,2009,5
Robotics,,2010,5
Robotics,,2011,5
Robotics,,2012,5
Robotics,,2013,5
Robotics,,2014,5
Robotics,,2015,6
Robotics,,2016,6
Robotics,,2017,6
Robotics,,2018,8
Robotics,,2019,10
Robotics,,2020,11
Robotics,,2021,12
Robotics,,2022,14
Robotics,,2023,22
Robotics,,2024,24
Speech,,1990,8
Speech,,1991,9
Speech,,1992,10
Speech,,1993,10
Speech,,1994,10
Speech,,1995,10
Speech,,1996,10
Speech,,1997,11
Speech,,1998,11
Speech,,1999,11
Speech,,2000,11
Speech,,2001,11
Speech,,2002,11
Speech,,2003,11
Speech,,2004,11
Speech,,2005,12
Speech,,2006,13
Speech,,2007,13
Speech,,2008,13
Speech,,2009,13
Speech,,2010,15
Speech,,2011,15
Speech,,2012,17
Speech,,2013,21
Speech,,2014,22
Speech,,2015,24
Speech,,2016,25
Speech,,2017,26
Speech,,2018,27
Speech,,2019,28
Speech,,2020,33
Speech,,2021,37
Speech,,2022,39
Speech,,2023,47
Speech,,2024,48
Video,,1990,0
Video,,1991,0
Video,,1992,0
Video,,1993,0
Video,,1994,0
Video,,1995,0
Video,,1996,0
Video,,1997,0
Video,,1998,0
Video,,1999,0
Video,,2000,0
Video,,2001,0
Video,,2002,0
Video,,2003,0
Video,,2004,0
Video,,2005,0
Video,,2006,1
Video,,2007,1
Video,,2008,1
Video,,2009,1
Video,,2010,1
Video,,2011,1
Video,,2012,1
Video,,2013,1
Video,,2014,4
Video,,2015,6
Video,,2016,8
Video,,2017,9
Video,,2018,9
Video,,2019,9
Video,,2020,9
Video,,2021,13
Video,,2022,17
Video,,2023,24
Video,,2024,25
Vision,,1990,18
Vision,,1991,18
Vision,,1992,19
Vision,,1993,21
Vision,,1994,23
Vision,,1995,25
Vision,,1996,28
Vision,,1997,31
Vision,,1998,32
Vision,,1999,33
Vision,,2000,34
Vision,,2001,35
Vision,,2002,35
Vision,,2003,38
Vision,,2004,41
Vision,,2005,44
Vision,,2006,51
Vision,,2007,54
Vision,,2008,56
Vision,,2009,59
Vision,,2010,67
Vision,,2011,71
Vision,,2012,78
Vision,,2013,89
Vision,,2014,103
Vision,,2015,114
Vision,,2016,140
Vision,,2017,165
Vision,,2018,181
Vision,,2019,202
Vision,,2020,213
Vision,,2021,236
Vision,,2022,247
Vision,,2023,276
Vision,,2024,282